,listing_id,travel_score
0,Rome1000038128653158461,5.0
1,Rome1000085573090116607,4.0
2,Rome1000087947380625661,1.0
3,Rome1000161932420441438,2.0
4,Rome1000512975918982495,4.0
5,Rome1000522472664526431,1.0
6,Rome1000576766010179859,4.0
7,Rome1000679754407855385,5.0
8,Rome1001136492211768653,5.0
9,Rome1001219200401561817,5.0
10,Rome1001240471470062245,3.0
11,Rome1001313777499137506,1.0
12,Rome1001362178364475570,2.0
13,Rome1001373242196670331,3.0
14,Rome1001437931547861290,2.0
15,Rome10015593,4.0
16,Rome1001844484674018302,1.0
17,Rome1001877448156247538,1.0
18,Rome1001905800008365525,2.0
19,Rome1002034,2.0
20,Rome1002125192619195155,5.0
21,Rome1002125451985930031,1.0
22,Rome10026455,2.0
23,Rome1002691905556903606,2.0
24,Rome1002788871882945060,1.0
25,Rome1002817639347702290,1.0
26,Rome1002825053752586792,4.0
27,Rome1002897,3.0
28,Rome1002939856859997018,2.0
29,Rome1003001109064807606,2.0
30,Rome1003046,5.0
31,Rome10030641,1.0
32,Rome10031886,4.0
33,Rome10032272,5.0
34,Rome1003335788550641104,1.0
35,Rome1003354075001256686,2.0
36,Rome1003411510490455151,2.0
37,Rome1003514356891012380,4.0
38,Rome1003517336954310844,3.0
39,Rome1003520625993363528,2.0
40,Rome1003531128976369126,1.0
41,Rome1003550465934386568,3.0
42,Rome1003565825752286557,5.0
43,Rome10036819,5.0
44,Rome10039212,5.0
45,Rome1004037804099872663,5.0
46,Rome1004092934245412570,2.0
47,Rome1004151184699463163,2.0
48,Rome1004160362926288485,4.0
49,Rome1004237911713738501,2.0
50,Rome1004368153312176694,5.0
51,Rome10045947,4.0
52,Rome1004894246969255024,4.0
53,Rome1004931124790957330,3.0
54,Rome1004941356073413136,2.0
55,Rome1004972545231189050,4.0
56,Rome1005085245756207754,2.0
57,Rome1005123538916110726,1.0
58,Rome1005146135576250123,5.0
59,Rome10052431,3.0
60,Rome1005483150201574457,1.0
61,Rome1005493018397948938,3.0
62,Rome1005556534311098079,3.0
63,Rome1005599933254274483,1.0
64,Rome10056203,3.0
65,Rome1005651884366359994,3.0
66,Rome1005659993107126427,2.0
67,Rome1005662719012264161,5.0
68,Rome1005674245094314879,5.0
69,Rome10058449,5.0
70,Rome1006252615560417180,3.0
71,Rome1006268680041535586,5.0
72,Rome1006592820585437247,5.0
73,Rome1006622142730665891,3.0
74,Rome10068148,3.0
75,Rome1006879,5.0
76,Rome10069114,4.0
77,Rome10071881,3.0
78,Rome1007222419679584293,3.0
79,Rome10076499,3.0
80,Rome10078139,3.0
81,Rome1007871148724847249,4.0
82,Rome1007981,5.0
83,Rome1007996831720007931,2.0
84,Rome1008069548585158057,2.0
85,Rome1008081988532153162,1.0
86,Rome1008235615946439119,1.0
87,Rome1008373918114653361,3.0
88,Rome1008447032304136449,5.0
89,Rome1008453465262484276,1.0
90,Rome1008454441808813915,4.0
91,Rome1008490915045529080,2.0
92,Rome1009092086540788737,1.0
93,Rome1009109784266078095,1.0
94,Rome1009232461488359061,1.0
95,Rome1009322315618066919,1.0
96,Rome1009511098522398504,1.0
97,Rome1009877582854958471,4.0
98,Rome10098969,1.0
99,Rome1009901897477411952,1.0
100,Rome1009903813869975815,1.0
101,Rome1009943801353263731,5.0
102,Rome1009960377958418187,1.0
103,Rome10100242,1.0
104,Rome1010072143834214241,5.0
105,Rome1010098852409197792,1.0
106,Rome1010148255179606168,3.0
107,Rome1010214927684894892,1.0
108,Rome1010238353435236326,2.0
109,Rome1010564159715798889,1.0
110,Rome1010615192120039734,2.0
111,Rome1010619689023531583,2.0
112,Rome1010828886532507093,1.0
113,Rome1011273479845786221,1.0
114,Rome10112862,2.0
115,Rome1011388129003256885,2.0
